"English","繁體中文 (Traditional Chinese)"
"Required for Magento App inside Zendesk to work.","供 Zendesk 內 Magento App 運作所需。"
"API Enabled","啟用 API"
"Generate","產生"
"Successfully generated a new API token","已成功產生新的 API 金鑰"
"API Details","API 詳情"
"API Token","API 金鑰"
"Create tickets from Contact Us form","從「聯絡我們」表單建立工單"
"Decide which features you would like turned on in your Magento store.","決定您希望在 Magento 商店中開啟的功能。"
"Code to display Feedback Tab","顯示反饋標籤的代碼"
"Customize Feedback Tab","自訂反饋標籤"
"Zendesk Order Number field ID","Zendesk 訂單號碼欄位 ID"
"Used to link order in Magento with tickets in Zendesk","用於連結 Magento 訂單與 Zendesk 工單"
"Show support tickets on customer view","在客戶視圖中顯示支援工單"
"Show support tickets on admin dashboard","在管理員儀表板中顯示支援工單"
"Show support tickets on order view","在訂單視圖中顯示支援工單"
"Features","功能"
"Views to show on dashboards","在儀表板上顯示的視圖"
"General settings that are required to connect Zendesk and Magento.","用於連線 Zendesk 和 Magento 的一般設定值。"
"Zendesk Domain","Zendesk 網域"
"Agent Email Address","代理電郵地址"
"Remote Authentication Token","遠端驗證金鑰"
"General","一般"
"Agent Token","代理金鑰"
"To generate a token, log in to Zendesk then select Manage > Channels > API > Token","要產生金鑰，登入 Zendesk 然後選擇管理 > 管道 > API > 金鑰"
"Haven't setup Zendesk yet? Follow our easy setup guide to start using Zendesk to support your customers.","尚未設定 Zendesk？跟著我們的簡易設定指南，開始使用 Zendesk 支援客戶。"
"Setup","設定"
"Use Magento to manage user authentication.","使用 Magento 管理使用者驗證。"
"Single Sign-on","單一登入"
"API","API"
"Chat","交談"
"Zendesk allows your customers to contact you using the methods they prefer. Use the links below to configure the channels you would like to use.","Zendesk 允許您的客戶用其偏好的方式聯絡您。使用下面的連結配置您希望使用的管道。"
"Email","電郵"
"Facebook","Facebook"
"Feedback Tab","反饋標籤"
"Support Channels","支援管道"
"Twitter","Twitter"
"Voice","Voice"
"Web Portal","入口網站"
"Dashboard","儀表板"
"Zendesk domain not set. Please add this to the settings page.","Zendesk 網域尚未設定。請將此新增至設定值頁面。"
"Launch Zendesk","啟動 Zendesk"
"No views selected. Please select one or more from the settings page.","未選擇視圖。請從設定值頁面選擇一個或多個。"
"Zendesk SSO token not been set. Please add this to the settings page.","Zendesk SSO 金鑰尚未設定。請將此新增至設定值頁面。"
"Support Tickets","支援工單"
"View all tickets","檢視所有工單"
"View ticket in Zendesk","在 Zendesk 中檢視工單"
"Assignee","受託人"
"Create Ticket","建立工單"
"Description","描述"
"Group","組"
"New Support Ticket","新建支援工單"
"No tickets found","找不到工單"
"Order number","訂單號碼"
"Priority","優先等級"
"High","高"
"Low","低"
"Normal","正常"
"Urgent","緊急"
"Requester Email","請求者電郵"
"Requester Name","請求者名稱"
"Requester Website","請求者網站"
"Status","狀態"
"New","新建"
"On-hold","暫停"
"Open","已開啟"
"Pending","未決"
"Solved","已解決"
"Subject","標題"
"Ticket #%s Created","工單 #%s 已建立"
"Type","類型"
"Incident","事件"
"Problem","事故"
"Question","問題"
"Task","任務"
"Updated","更新於"
