"English","Nederlands (Dutch)"
"API Details","API-details"
"API Enabled","API ingeschakeld"
"API Token","API-token"
"API test connection failed","API-testverbinding mislukt"
"API test connection successful","API-testverbinding gelukt"
"API","API"
"Agent Email Address","E-mailadres van agent"
"Agent Token","Agent-token"
"Are you sure you want to clear the entire Zendesk log?","Weet u zeker dat u het gehele Zendesk-log wilt wissen?"
"Assignee","Medewerker"
"Chat","Chat"
"Click 'Save Config' and try again. If the issue persist, check if the entered Agent Email Address and Agent Token combination is correct.","Klik op Configuratie opslaan en probeer het opnieuw. Als het probleem blijft bestaan, controleer dan of de combinatie van het opgegeven e‑mailadres van de agent en het token van de agent juist is."
"Code to display Feedback Tab","Code om tabblad Feedback weer te geven"
"Connection to Zendesk API failed","Verbinding met Zendesk-API mislukt"
"Connection to Zendesk API successful","Verbinding met Zendesk-API gelukt"
"Create Ticket","Ticket maken"
"Create tickets from Contact Us form","Tickets maken van Contact-formulier"
"Customize Feedback Tab","Tabblad Feedback aanpassen"
"Customize Web Widget","Web Widget aanpassen"
"Dashboard","Dashboard"
"Decide which features you would like turned on in your Magento store.","Bepaal welke functies u ingeschakeld wilt hebben in uw Magento-winkel."
"Description","Beschrijving"
"Display link to Zendesk Support in Magento footer","Koppeling naar Zendesk Support in Magento-voettekst weergeven"
"Display link to Zendesk in Magento footer","Koppeling naar Zendesk in Magento-voettekst weergeven"
"Email","E-mail"
"Facebook","Facebook"
"Features","Kenmerken"
"Feedback Tab","Tabblad Feedback"
"File size too large - only showing the last %s lines. Click Download to retrieve the entire file.","Bestand te groot – alleen de laatste %s regels worden weergegeven. Klik op Downloaden om het gehele bestand op te halen."
"General settings that are required to connect Zendesk Support and Magento.","Algemene instellingen die zijn vereist om Zendesk Support en Magento te koppelen."
"General settings that are required to connect Zendesk and Magento.","Algemene instellingen die zijn vereist om Zendesk en Magento te koppelen."
"General","Algemeen"
"Generate","Genereren"
"Group","Groep"
"Haven't set up Zendesk Support yet? Follow our easy setup guide to get started.","Hebt u Zendesk Support nog niet ingesteld? Volg de eenvoudige stappen om aan de slag te gaan."
"Haven't setup Zendesk yet? Follow our easy setup guide to start using Zendesk to support your customers.","Hebt u Zendesk nog niet ingesteld? Volg de eenvoudige stappen om met Zendesk klanten te ondersteunen."
"High","Hoog"
"Incident","Incident"
"Include Web Widget","Met Web Widget"
"Launch Zendesk Support","Zendesk Support starten"
"Launch Zendesk","Zendesk starten"
"Low","Laag"
"New Support Ticket","Nieuwe supportticket"
"New","Nieuw"
"No tickets found","Geen tickets gevonden"
"No views selected. Please select one or more from the settings page.","Geen weergaven geselecteerd. Selecteer er een of meer op de instellingenpagina."
"Normal","Normaal"
"On-hold","Geparkeerd"
"Open","Open"
"Order number","Ordernummer"
"Pending","In afwachting"
"Priority","Prioriteit"
"Problem","Probleem"
"Question","Vraag"
"Remote Authentication Token","Token voor externe verificatie"
"Remote Authentication Token","Token voor externe verificatie"
"Requested","Aangevraagd"
"Requester Email","E-mail van aanvrager"
"Requester Name","Naam van aanvrager"
"Requester Website","Website van aanvrager"
"Requester","Aanvrager"
"Required for Magento App inside Zendesk to work.","Vereist voor Magento-app binnen Zendesk om te werken."
"Required for Magento app to work in Zendesk Support.","Vereist, anders werkt de Magento-app niet in Zendesk Support."
"Save Config","Configuratie opslaan"
"Settings","Instellingen"
"Setup guide","Installatiegids"
"Setup","Instellen"
"Show support tickets on admin dashboard","Supporttickets weergeven in Administrator-dashboard."
"Show support tickets on customer view","Supporttickets weergeven in klantweergave"
"Show support tickets on order view","Supporttickets weergeven in orderweergave"
"Single Sign-on - Admins and Agents","Enkelvoudige aanmelding – Admins en agenten"
"Single Sign-on - End-users","Enkelvoudige aanmelding - Eindgebruikers"
"Single Sign-on Enabled","Enkelvoudige aanmelding ingeschakeld"
"Single Sign-on Enabled","Enkelvoudige aanmelding ingeschakeld"
"Solved","Opgelost"
"Status","Status"
"Subject","Onderwerp"
"Successfully generated a new API token","Er is een nieuw API-token gegenereerd"
"Support Channels","Supportkanalen"
"Task","Taak"
"Test Connection","Verbinding testen"
"The Zendesk log file has not been created. Check to see if logging has been enabled.","Het Zendesk-logbestand is niet gemaakt. Controleer of vastleggen in logbestand is ingeschakeld."
"Ticket #%s Created","Ticket #%s gemaakt"
"Tickets","Tickets"
"To generate a token, sign in to Zendesk then select Manage > Channels > API > Token","Als u een token wilt genereren, dient u zich aan te melden bij Zendesk. Selecteer daarna Beheren > Kanalen > API > Token"
"Twitter","Twitter"
"Type","Type"
"Updated","Bijgewerkt"
"Urgent","Urgent"
"Use Magento to manage admin and agent authentication.","Gebruik Magento om Admin- en agentenverificatie te beheren."
"Use Magento to manage end-user authentication.","Met Magento kunt u eindgebruikersautorisatie beheren."
"Use Magento to manage user authentication.","Met Magento kunt u gebruikersverificatie beheren."
"Used to link order in Magento with tickets in Zendesk Support","Gebruikt om order in Magento te koppelen aan tickets in Zendesk Support"
"Used to link order in Magento with tickets in Zendesk","Gebruikt om order in Magento te koppelen aan tickets in Zendesk"
"View All Tickets","Alle tickets weergeven"
"View ticket in Zendesk Support","Ticket in Zendesk Support weergeven"
"View ticket in Zendesk","Ticket in Zendesk weergeven"
"Views to show on dashboards","Weergaven voor dashboards"
"Voice","Voice"
"Web Portal","Webportal"
"Zendesk Domain","Zendesk-domein"
"Zendesk Log Viewer","Zendesk-logviewer"
"Zendesk Order Number field ID","Id van Zendesk-ordernummerveld"
"Zendesk SSO token not been set. Please add this to the settings page.","Zendesk SSO-token niet ingesteld. Voeg dit toe aan de instellingenpagina."
"Zendesk allows your customers to contact you using the methods they prefer. Use the links below to configure the channels you would like to use.","Met Zendesk kunnen klanten contact met u opnemen via de methode van hun voorkeur. Gebruik onderstaande koppelingen om de kanalen te configureren die u wilt gebruiken."
"Zendesk domain not set. Please add this to the settings page.","Zendesk-domein niet ingesteld. Voeg dit toe aan de instellingenpagina."
